====================================================================================================
Running Python 3.10.12 (main, Jan 26 2026, 14:55:28) [GCC 11.4.0]
Running PyTorch 2.10.0+cu128 compiled for CUDA 12.8
Running Triton version 3.6.0
Fri Feb 20 21:25:30 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.126.09             Driver Version: 580.126.09     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA H100 80GB HBM3          On  |   00000000:04:00.0 Off |                  Off |
| N/A   37C    P0            118W /  700W |    1185MiB /  81559MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|    0   N/A  N/A           10759      C   /usr/bin/python3                       1176MiB |
+-----------------------------------------------------------------------------------------+

====================================================================================================
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 495, 496, 497, 498, 991, 992, 993, 994, 1488, 1489, 1490, 1491] for warmup
step:56/1530, train_time:13392ms, step_avg:239.14ms, train loss:10.8660,  lr:1.0
step:57/1530, train_time:13629ms, step_avg:239.10ms, train loss:10.8721,  lr:1.0
step:58/1530, train_time:13866ms, step_avg:239.07ms, train loss:10.6481,  lr:1.0
step:59/1530, train_time:14105ms, step_avg:239.06ms, train loss:10.8062,  lr:1.0
step:60/1530, train_time:14341ms, step_avg:239.02ms, train loss:10.6937,  lr:1.0
step:61/1530, train_time:14580ms, step_avg:239.01ms, train loss:10.6256,  lr:1.0
step:62/1530, train_time:14816ms, step_avg:238.96ms, train loss:10.6334,  lr:1.0
step:63/1530, train_time:15053ms, step_avg:238.94ms, train loss:10.6475,  lr:1.0
step:64/1530, train_time:15290ms, step_avg:238.90ms, train loss:10.6454,  lr:1.0
step:65/1530, train_time:15530ms, step_avg:238.92ms, train loss:10.5982,  lr:1.0
step:66/1530, train_time:15767ms, step_avg:238.89ms, train loss:10.5694,  lr:1.0
step:67/1530, train_time:16005ms, step_avg:238.88ms, train loss:10.5697,  lr:1.0
step:68/1530, train_time:16241ms, step_avg:238.84ms, train loss:10.5403,  lr:1.0
step:69/1530, train_time:16480ms, step_avg:238.84ms, train loss:10.4338,  lr:1.0
step:70/1530, train_time:16716ms, step_avg:238.80ms, train loss:10.4377,  lr:1.0
step:71/1530, train_time:16952ms, step_avg:238.77ms, train loss:10.4523,  lr:1.0
step:72/1530, train_time:17188ms, step_avg:238.73ms, train loss:10.4308,  lr:1.0
step:73/1530, train_time:17428ms, step_avg:238.73ms, train loss:10.3279,  lr:1.0
step:74/1530, train_time:17665ms, step_avg:238.72ms, train loss:10.3758,  lr:1.0
step:75/1530, train_time:17904ms, step_avg:238.72ms, train loss:10.4113,  lr:1.0
step:76/1530, train_time:18140ms, step_avg:238.68ms, train loss:10.3137,  lr:1.0
step:77/1530, train_time:18378ms, step_avg:238.68ms, train loss:10.3754,  lr:1.0
step:78/1530, train_time:18615ms, step_avg:238.65ms, train loss:10.2698,  lr:1.0
step:79/1530, train_time:18852ms, step_avg:238.64ms, train loss:10.2979,  lr:1.0
step:80/1530, train_time:19090ms, step_avg:238.63ms, train loss:10.2997,  lr:1.0
step:81/1530, train_time:19329ms, step_avg:238.63ms, train loss:10.2542,  lr:1.0
step:82/1530, train_time:19566ms, step_avg:238.61ms, train loss:10.3064,  lr:1.0
step:83/1530, train_time:19805ms, step_avg:238.61ms, train loss:10.1140,  lr:1.0
step:84/1530, train_time:20042ms, step_avg:238.60ms, train loss:10.0924,  lr:1.0
step:85/1530, train_time:20280ms, step_avg:238.59ms, train loss:10.2637,  lr:1.0
step:86/1530, train_time:20516ms, step_avg:238.56ms, train loss:10.1389,  lr:1.0
step:87/1530, train_time:20753ms, step_avg:238.54ms, train loss:10.1685,  lr:1.0
step:88/1530, train_time:20991ms, step_avg:238.54ms, train loss:10.0666,  lr:1.0
step:89/1530, train_time:21230ms, step_avg:238.53ms, train loss:10.0936,  lr:1.0
step:90/1530, train_time:21466ms, step_avg:238.52ms, train loss:10.0627,  lr:1.0
step:91/1530, train_time:21707ms, step_avg:238.53ms, train loss:10.0636,  lr:1.0
step:92/1530, train_time:21943ms, step_avg:238.51ms, train loss:10.0981,  lr:1.0
step:93/1530, train_time:22182ms, step_avg:238.52ms, train loss:10.0419,  lr:1.0
step:94/1530, train_time:22418ms, step_avg:238.49ms, train loss:9.9332,  lr:1.0
step:95/1530, train_time:22656ms, step_avg:238.49ms, train loss:9.9197,  lr:1.0
step:96/1530, train_time:22893ms, step_avg:238.47ms, train loss:10.0207,  lr:1.0
step:97/1530, train_time:23130ms, step_avg:238.45ms, train loss:10.0280,  lr:1.0
step:98/1530, train_time:23365ms, step_avg:238.42ms, train loss:9.9821,  lr:1.0
step:99/1530, train_time:23604ms, step_avg:238.43ms, train loss:9.7989,  lr:1.0
step:100/1530, train_time:23841ms, step_avg:238.41ms, train loss:9.7991,  lr:1.0
step:100/1530 val_loss:5.0974 train_time:23856ms step_avg:238.56ms
step:101/1530, train_time:24081ms, step_avg:238.43ms, train loss:9.9455,  lr:1.0
step:102/1530, train_time:24319ms, step_avg:238.42ms, train loss:9.9473,  lr:1.0
step:103/1530, train_time:24557ms, step_avg:238.42ms, train loss:9.7997,  lr:1.0
step:104/1530, train_time:24796ms, step_avg:238.42ms, train loss:9.9415,  lr:1.0
step:105/1530, train_time:25034ms, step_avg:238.42ms, train loss:9.8026,  lr:1.0
step:106/1530, train_time:25271ms, step_avg:238.41ms, train loss:9.7212,  lr:1.0
step:107/1530, train_time:25509ms, step_avg:238.40ms, train loss:9.8142,  lr:1.0
step:108/1530, train_time:25748ms, step_avg:238.40ms, train loss:9.7577,  lr:1.0
step:109/1530, train_time:25985ms, step_avg:238.40ms, train loss:9.8317,  lr:1.0
step:110/1530, train_time:26223ms, step_avg:238.40ms, train loss:9.8141,  lr:1.0
step:111/1530, train_time:26462ms, step_avg:238.40ms, train loss:9.6241,  lr:1.0
step:112/1530, train_time:26701ms, step_avg:238.40ms, train loss:9.8073,  lr:1.0
step:113/1530, train_time:26941ms, step_avg:238.41ms, train loss:9.7899,  lr:1.0
step:114/1530, train_time:27178ms, step_avg:238.41ms, train loss:9.7909,  lr:1.0
step:115/1530, train_time:27416ms, step_avg:238.40ms, train loss:9.6558,  lr:1.0
step:116/1530, train_time:27653ms, step_avg:238.39ms, train loss:9.6439,  lr:1.0
step:117/1530, train_time:27891ms, step_avg:238.39ms, train loss:9.7083,  lr:1.0
step:118/1530, train_time:28129ms, step_avg:238.38ms, train loss:9.6197,  lr:1.0
step:119/1530, train_time:28369ms, step_avg:238.40ms, train loss:9.6015,  lr:1.0
step:120/1530, train_time:28607ms, step_avg:238.39ms, train loss:9.5876,  lr:1.0
step:121/1530, train_time:28845ms, step_avg:238.39ms, train loss:9.5376,  lr:1.0
step:122/1530, train_time:29083ms, step_avg:238.39ms, train loss:9.6266,  lr:1.0
step:123/1530, train_time:29322ms, step_avg:238.39ms, train loss:9.6801,  lr:1.0
step:124/1530, train_time:29559ms, step_avg:238.38ms, train loss:9.5709,  lr:1.0
step:125/1530, train_time:29796ms, step_avg:238.37ms, train loss:9.5232,  lr:1.0
step:126/1530, train_time:30034ms, step_avg:238.36ms, train loss:9.5346,  lr:1.0
step:127/1530, train_time:30272ms, step_avg:238.37ms, train loss:9.6127,  lr:1.0
step:128/1530, train_time:30510ms, step_avg:238.36ms, train loss:9.6440,  lr:1.0
step:129/1530, train_time:30749ms, step_avg:238.37ms, train loss:9.5140,  lr:1.0
step:130/1530, train_time:30987ms, step_avg:238.36ms, train loss:9.5849,  lr:1.0
step:131/1530, train_time:31225ms, step_avg:238.36ms, train loss:9.4363,  lr:1.0
step:132/1530, train_time:31462ms, step_avg:238.35ms, train loss:9.4992,  lr:1.0
step:133/1530, train_time:31702ms, step_avg:238.36ms, train loss:9.4678,  lr:1.0
step:134/1530, train_time:31941ms, step_avg:238.37ms, train loss:9.4552,  lr:1.0
step:135/1530, train_time:32181ms, step_avg:238.38ms, train loss:9.4779,  lr:1.0
step:136/1530, train_time:32418ms, step_avg:238.37ms, train loss:9.4017,  lr:1.0
step:137/1530, train_time:32657ms, step_avg:238.37ms, train loss:9.4064,  lr:1.0
step:138/1530, train_time:32895ms, step_avg:238.37ms, train loss:9.5092,  lr:1.0
step:139/1530, train_time:33133ms, step_avg:238.37ms, train loss:9.4725,  lr:1.0
step:140/1530, train_time:33372ms, step_avg:238.37ms, train loss:9.4948,  lr:1.0
step:141/1530, train_time:33610ms, step_avg:238.37ms, train loss:9.2921,  lr:1.0
step:142/1530, train_time:33849ms, step_avg:238.37ms, train loss:9.2682,  lr:1.0
step:143/1530, train_time:34087ms, step_avg:238.37ms, train loss:9.3994,  lr:1.0
step:144/1530, train_time:34324ms, step_avg:238.36ms, train loss:9.3659,  lr:1.0
step:145/1530, train_time:34563ms, step_avg:238.36ms, train loss:9.5282,  lr:1.0
step:146/1530, train_time:34801ms, step_avg:238.36ms, train loss:9.2520,  lr:1.0
step:147/1530, train_time:35038ms, step_avg:238.35ms, train loss:9.2959,  lr:1.0
step:148/1530, train_time:35274ms, step_avg:238.33ms, train loss:9.2750,  lr:1.0
step:149/1530, train_time:35511ms, step_avg:238.33ms, train loss:9.3412,  lr:1.0
step:150/1530, train_time:35751ms, step_avg:238.34ms, train loss:9.3340,  lr:1.0
step:150/1530 val_loss:4.8106 train_time:35765ms step_avg:238.43ms
step:151/1530, train_time:35990ms, step_avg:238.35ms, train loss:9.2224,  lr:1.0
step:152/1530, train_time:36226ms, step_avg:238.33ms, train loss:9.1316,  lr:1.0
step:153/1530, train_time:36462ms, step_avg:238.31ms, train loss:9.3133,  lr:1.0
step:154/1530, train_time:36699ms, step_avg:238.30ms, train loss:9.3071,  lr:1.0
step:155/1530, train_time:36938ms, step_avg:238.31ms, train loss:9.2900,  lr:1.0
step:156/1530, train_time:37174ms, step_avg:238.30ms, train loss:9.1902,  lr:1.0
step:157/1530, train_time:37411ms, step_avg:238.29ms, train loss:9.1885,  lr:1.0
step:158/1530, train_time:37648ms, step_avg:238.28ms, train loss:9.1843,  lr:1.0
step:159/1530, train_time:37886ms, step_avg:238.28ms, train loss:9.3132,  lr:1.0
step:160/1530, train_time:38125ms, step_avg:238.28ms, train loss:9.2209,  lr:1.0
step:161/1530, train_time:38364ms, step_avg:238.29ms, train loss:9.1026,  lr:1.0
step:162/1530, train_time:38599ms, step_avg:238.26ms, train loss:9.1107,  lr:1.0
step:163/1530, train_time:38837ms, step_avg:238.26ms, train loss:9.2113,  lr:1.0
step:164/1530, train_time:39072ms, step_avg:238.25ms, train loss:9.1797,  lr:1.0
step:165/1530, train_time:39309ms, step_avg:238.24ms, train loss:9.1573,  lr:1.0
step:166/1530, train_time:39544ms, step_avg:238.22ms, train loss:9.1806,  lr:1.0
step:167/1530, train_time:39784ms, step_avg:238.23ms, train loss:9.1400,  lr:1.0
step:168/1530, train_time:40020ms, step_avg:238.22ms, train loss:9.0827,  lr:1.0
step:169/1530, train_time:40258ms, step_avg:238.22ms, train loss:9.1868,  lr:1.0
step:170/1530, train_time:40493ms, step_avg:238.19ms, train loss:9.0902,  lr:1.0
step:171/1530, train_time:40731ms, step_avg:238.19ms, train loss:9.2184,  lr:1.0
step:172/1530, train_time:40968ms, step_avg:238.19ms, train loss:9.0625,  lr:1.0
step:173/1530, train_time:41206ms, step_avg:238.18ms, train loss:8.9871,  lr:1.0
step:174/1530, train_time:41441ms, step_avg:238.17ms, train loss:9.0813,  lr:1.0
step:175/1530, train_time:41679ms, step_avg:238.16ms, train loss:9.0910,  lr:1.0
step:176/1530, train_time:41915ms, step_avg:238.15ms, train loss:9.0997,  lr:1.0
step:177/1530, train_time:42152ms, step_avg:238.15ms, train loss:9.0632,  lr:1.0
step:178/1530, train_time:42388ms, step_avg:238.14ms, train loss:9.0641,  lr:1.0
step:179/1530, train_time:42626ms, step_avg:238.13ms, train loss:9.0832,  lr:1.0
step:180/1530, train_time:42862ms, step_avg:238.12ms, train loss:9.0779,  lr:1.0
step:181/1530, train_time:43100ms, step_avg:238.12ms, train loss:9.0889,  lr:1.0
step:182/1530, train_time:43336ms, step_avg:238.11ms, train loss:9.0768,  lr:1.0
step:183/1530, train_time:43573ms, step_avg:238.10ms, train loss:8.9116,  lr:1.0
step:184/1530, train_time:43809ms, step_avg:238.09ms, train loss:9.0229,  lr:1.0
step:185/1530, train_time:44046ms, step_avg:238.08ms, train loss:8.9507,  lr:1.0
step:186/1530, train_time:44281ms, step_avg:238.07ms, train loss:9.0117,  lr:1.0
step:187/1530, train_time:44520ms, step_avg:238.07ms, train loss:8.9590,  lr:1.0
step:188/1530, train_time:44755ms, step_avg:238.06ms, train loss:8.8283,  lr:1.0
step:189/1530, train_time:44994ms, step_avg:238.06ms, train loss:9.0030,  lr:1.0
step:190/1530, train_time:45229ms, step_avg:238.05ms, train loss:8.8837,  lr:1.0
step:191/1530, train_time:45467ms, step_avg:238.04ms, train loss:9.0157,  lr:1.0
step:192/1530, train_time:45702ms, step_avg:238.03ms, train loss:8.8648,  lr:1.0
step:193/1530, train_time:45940ms, step_avg:238.03ms, train loss:8.9699,  lr:1.0
step:194/1530, train_time:46176ms, step_avg:238.02ms, train loss:8.8899,  lr:1.0
step:195/1530, train_time:46435ms, step_avg:238.13ms, train loss:8.9798,  lr:1.0
step:196/1530, train_time:46664ms, step_avg:238.08ms, train loss:8.9580,  lr:1.0
step:197/1530, train_time:46902ms, step_avg:238.08ms, train loss:9.0569,  lr:1.0
step:198/1530, train_time:47138ms, step_avg:238.07ms, train loss:8.8953,  lr:1.0
step:199/1530, train_time:47377ms, step_avg:238.07ms, train loss:8.7622,  lr:1.0
step:200/1530, train_time:47616ms, step_avg:238.08ms, train loss:8.9582,  lr:1.0
step:200/1530 val_loss:4.6246 train_time:47630ms step_avg:238.15ms
step:201/1530, train_time:47857ms, step_avg:238.10ms, train loss:8.8366,  lr:1.0
step:202/1530, train_time:48096ms, step_avg:238.10ms, train loss:8.9004,  lr:1.0
step:203/1530, train_time:48335ms, step_avg:238.11ms, train loss:8.8278,  lr:1.0
step:204/1530, train_time:48572ms, step_avg:238.10ms, train loss:8.8466,  lr:1.0
step:205/1530, train_time:48810ms, step_avg:238.10ms, train loss:8.9616,  lr:1.0
step:206/1530, train_time:49046ms, step_avg:238.09ms, train loss:8.9213,  lr:1.0
step:207/1530, train_time:49285ms, step_avg:238.09ms, train loss:8.9334,  lr:1.0
step:208/1530, train_time:49523ms, step_avg:238.09ms, train loss:8.7586,  lr:1.0
step:209/1530, train_time:49761ms, step_avg:238.09ms, train loss:8.8002,  lr:1.0
step:210/1530, train_time:49997ms, step_avg:238.08ms, train loss:8.8346,  lr:1.0
step:211/1530, train_time:50236ms, step_avg:238.09ms, train loss:8.8445,  lr:1.0
step:212/1530, train_time:50474ms, step_avg:238.08ms, train loss:8.8761,  lr:1.0
step:213/1530, train_time:50711ms, step_avg:238.08ms, train loss:8.7599,  lr:1.0
step:214/1530, train_time:50946ms, step_avg:238.07ms, train loss:8.7552,  lr:1.0
step:215/1530, train_time:51185ms, step_avg:238.07ms, train loss:8.8629,  lr:1.0
step:216/1530, train_time:51424ms, step_avg:238.08ms, train loss:8.7657,  lr:1.0
step:217/1530, train_time:51663ms, step_avg:238.08ms, train loss:8.8817,  lr:1.0
step:218/1530, train_time:51899ms, step_avg:238.07ms, train loss:8.8040,  lr:1.0
step:219/1530, train_time:52136ms, step_avg:238.06ms, train loss:8.6782,  lr:1.0
step:220/1530, train_time:52373ms, step_avg:238.06ms, train loss:8.7752,  lr:1.0
step:221/1530, train_time:52611ms, step_avg:238.06ms, train loss:8.7250,  lr:1.0
step:222/1530, train_time:52848ms, step_avg:238.06ms, train loss:8.7182,  lr:1.0
step:223/1530, train_time:53087ms, step_avg:238.06ms, train loss:8.6761,  lr:1.0
step:224/1530, train_time:53326ms, step_avg:238.06ms, train loss:8.6811,  lr:1.0
step:225/1530, train_time:53566ms, step_avg:238.07ms, train loss:8.7265,  lr:1.0
step:226/1530, train_time:53804ms, step_avg:238.07ms, train loss:8.8024,  lr:1.0
step:227/1530, train_time:54042ms, step_avg:238.07ms, train loss:8.7682,  lr:1.0
step:228/1530, train_time:54271ms, step_avg:238.03ms, train loss:8.6985,  lr:1.0
step:229/1530, train_time:54514ms, step_avg:238.05ms, train loss:8.6540,  lr:1.0
step:230/1530, train_time:54755ms, step_avg:238.06ms, train loss:8.7396,  lr:1.0
step:231/1530, train_time:54995ms, step_avg:238.07ms, train loss:8.7724,  lr:1.0
step:232/1530, train_time:55232ms, step_avg:238.07ms, train loss:8.6702,  lr:1.0
step:233/1530, train_time:55471ms, step_avg:238.07ms, train loss:8.6484,  lr:1.0
step:234/1530, train_time:55707ms, step_avg:238.07ms, train loss:8.6215,  lr:1.0
step:235/1530, train_time:55946ms, step_avg:238.07ms, train loss:8.7721,  lr:1.0
step:236/1530, train_time:56184ms, step_avg:238.07ms, train loss:8.7040,  lr:1.0
step:237/1530, train_time:56422ms, step_avg:238.07ms, train loss:8.7106,  lr:1.0
step:238/1530, train_time:56658ms, step_avg:238.06ms, train loss:8.5702,  lr:1.0
step:239/1530, train_time:56896ms, step_avg:238.06ms, train loss:8.5804,  lr:1.0
step:240/1530, train_time:57132ms, step_avg:238.05ms, train loss:8.6561,  lr:1.0
step:241/1530, train_time:57371ms, step_avg:238.05ms, train loss:8.5987,  lr:1.0
step:242/1530, train_time:57607ms, step_avg:238.05ms, train loss:8.7100,  lr:1.0
step:243/1530, train_time:57846ms, step_avg:238.05ms, train loss:8.6015,  lr:1.0
step:244/1530, train_time:58084ms, step_avg:238.05ms, train loss:8.5236,  lr:1.0
step:245/1530, train_time:58322ms, step_avg:238.05ms, train loss:8.5239,  lr:1.0
step:246/1530, train_time:58558ms, step_avg:238.04ms, train loss:8.6109,  lr:1.0
step:247/1530, train_time:58796ms, step_avg:238.04ms, train loss:8.6192,  lr:1.0
step:248/1530, train_time:59032ms, step_avg:238.03ms, train loss:8.6005,  lr:1.0
step:249/1530, train_time:59270ms, step_avg:238.03ms, train loss:8.5054,  lr:1.0
step:250/1530, train_time:59506ms, step_avg:238.02ms, train loss:8.5556,  lr:1.0
step:250/1530 val_loss:4.5137 train_time:59520ms step_avg:238.08ms
step:251/1530, train_time:59745ms, step_avg:238.03ms, train loss:8.6567,  lr:1.0
step:252/1530, train_time:59981ms, step_avg:238.02ms, train loss:8.5597,  lr:1.0
step:253/1530, train_time:60219ms, step_avg:238.02ms, train loss:8.5200,  lr:1.0
step:254/1530, train_time:60457ms, step_avg:238.02ms, train loss:8.5145,  lr:1.0
step:255/1530, train_time:60695ms, step_avg:238.02ms, train loss:8.4643,  lr:1.0
step:256/1530, train_time:60930ms, step_avg:238.01ms, train loss:8.5346,  lr:1.0
step:257/1530, train_time:61168ms, step_avg:238.01ms, train loss:8.6759,  lr:1.0
step:258/1530, train_time:61405ms, step_avg:238.00ms, train loss:8.6338,  lr:1.0
step:259/1530, train_time:61644ms, step_avg:238.01ms, train loss:8.5787,  lr:1.0
step:260/1530, train_time:61879ms, step_avg:238.00ms, train loss:8.4651,  lr:1.0
step:261/1530, train_time:62116ms, step_avg:237.99ms, train loss:8.7269,  lr:1.0
step:262/1530, train_time:62352ms, step_avg:237.98ms, train loss:8.4603,  lr:1.0
step:263/1530, train_time:62590ms, step_avg:237.98ms, train loss:8.6428,  lr:1.0
step:264/1530, train_time:62827ms, step_avg:237.98ms, train loss:8.5028,  lr:1.0
step:265/1530, train_time:63065ms, step_avg:237.98ms, train loss:8.3943,  lr:1.0
step:266/1530, train_time:63302ms, step_avg:237.98ms, train loss:8.4840,  lr:1.0
step:267/1530, train_time:63540ms, step_avg:237.98ms, train loss:8.5202,  lr:1.0
step:268/1530, train_time:63778ms, step_avg:237.98ms, train loss:8.6027,  lr:1.0
step:269/1530, train_time:64015ms, step_avg:237.98ms, train loss:8.3930,  lr:1.0
step:270/1530, train_time:64253ms, step_avg:237.97ms, train loss:8.4691,  lr:1.0
step:271/1530, train_time:64491ms, step_avg:237.97ms, train loss:8.5020,  lr:1.0
step:272/1530, train_time:64728ms, step_avg:237.97ms, train loss:8.4565,  lr:1.0
step:273/1530, train_time:64966ms, step_avg:237.97ms, train loss:8.4900,  lr:1.0
step:274/1530, train_time:65205ms, step_avg:237.97ms, train loss:8.3630,  lr:1.0
step:275/1530, train_time:65443ms, step_avg:237.97ms, train loss:8.3448,  lr:1.0
step:276/1530, train_time:65680ms, step_avg:237.97ms, train loss:8.5080,  lr:1.0
step:277/1530, train_time:65918ms, step_avg:237.97ms, train loss:8.4273,  lr:1.0
step:278/1530, train_time:66155ms, step_avg:237.97ms, train loss:8.4613,  lr:1.0
step:279/1530, train_time:66394ms, step_avg:237.97ms, train loss:8.4162,  lr:1.0
step:280/1530, train_time:66629ms, step_avg:237.96ms, train loss:8.3728,  lr:1.0
step:281/1530, train_time:66866ms, step_avg:237.96ms, train loss:8.3950,  lr:1.0
step:282/1530, train_time:67103ms, step_avg:237.95ms, train loss:8.4593,  lr:1.0
