====================================================================================================
Running Python 3.10.12 (main, Jan 26 2026, 14:55:28) [GCC 11.4.0]
Running PyTorch 2.10.0+cu128 compiled for CUDA 12.8
Running Triton version 3.6.0
Fri Feb 20 23:44:09 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.126.09             Driver Version: 580.126.09     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA H100 80GB HBM3          On  |   00000000:04:00.0 Off |                  Off |
| N/A   26C    P0            111W /  700W |    1185MiB /  81559MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|    0   N/A  N/A           16846      C   /usr/bin/python3                       1176MiB |
+-----------------------------------------------------------------------------------------+

====================================================================================================
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 338, 339, 340, 341, 678, 679, 680, 681, 1018, 1019, 1020, 1021] for warmup
Resetting Model
step:56/1530, train_time:13.3ms, step_avg:237.00ms, train loss:86.12,  lr:1.00
step:57/1530, train_time:13.5ms, step_avg:237.01ms, train loss:86.10,  lr:1.00
step:58/1530, train_time:13.7ms, step_avg:237.00ms, train loss:84.27,  lr:1.00
step:59/1530, train_time:14.0ms, step_avg:237.00ms, train loss:85.51,  lr:1.00
step:60/1530, train_time:14.2ms, step_avg:236.98ms, train loss:84.63,  lr:1.00
step:61/1530, train_time:14.5ms, step_avg:236.98ms, train loss:84.04,  lr:1.00
step:62/1530, train_time:14.7ms, step_avg:236.99ms, train loss:84.05,  lr:1.00
step:63/1530, train_time:14.9ms, step_avg:237.01ms, train loss:84.10,  lr:1.00
step:64/1530, train_time:15.2ms, step_avg:237.02ms, train loss:84.28,  lr:1.00
step:65/1530, train_time:15.4ms, step_avg:237.00ms, train loss:84.26,  lr:1.00
step:66/1530, train_time:15.6ms, step_avg:236.99ms, train loss:83.61,  lr:1.00
step:67/1530, train_time:15.9ms, step_avg:236.98ms, train loss:83.60,  lr:1.00
step:68/1530, train_time:16.1ms, step_avg:236.97ms, train loss:83.37,  lr:1.00
step:69/1530, train_time:16.4ms, step_avg:236.97ms, train loss:82.59,  lr:1.00
step:70/1530, train_time:16.6ms, step_avg:236.94ms, train loss:82.50,  lr:1.00
step:71/1530, train_time:16.8ms, step_avg:236.93ms, train loss:82.57,  lr:1.00
step:72/1530, train_time:17.1ms, step_avg:236.91ms, train loss:82.43,  lr:1.00
step:73/1530, train_time:17.3ms, step_avg:236.92ms, train loss:81.58,  lr:1.00
step:74/1530, train_time:17.5ms, step_avg:236.91ms, train loss:81.81,  lr:1.00
step:75/1530, train_time:17.8ms, step_avg:236.91ms, train loss:82.03,  lr:1.00
step:76/1530, train_time:18.0ms, step_avg:236.89ms, train loss:81.36,  lr:1.00
step:77/1530, train_time:18.2ms, step_avg:236.88ms, train loss:81.77,  lr:1.00
step:78/1530, train_time:18.5ms, step_avg:236.87ms, train loss:80.88,  lr:1.00
step:79/1530, train_time:18.7ms, step_avg:236.87ms, train loss:81.23,  lr:1.00
step:80/1530, train_time:18.9ms, step_avg:236.86ms, train loss:81.23,  lr:1.00
step:81/1530, train_time:19.2ms, step_avg:236.86ms, train loss:80.93,  lr:1.00
step:82/1530, train_time:19.4ms, step_avg:236.85ms, train loss:81.30,  lr:1.00
step:83/1530, train_time:19.7ms, step_avg:236.85ms, train loss:79.84,  lr:1.00
step:84/1530, train_time:19.9ms, step_avg:236.83ms, train loss:79.50,  lr:1.00
step:85/1530, train_time:20.1ms, step_avg:236.83ms, train loss:80.61,  lr:1.00
step:86/1530, train_time:20.4ms, step_avg:236.83ms, train loss:79.71,  lr:1.00
step:87/1530, train_time:20.6ms, step_avg:236.83ms, train loss:80.03,  lr:1.00
step:88/1530, train_time:20.8ms, step_avg:236.81ms, train loss:79.18,  lr:1.00
step:89/1530, train_time:21.1ms, step_avg:236.80ms, train loss:79.30,  lr:1.00
step:90/1530, train_time:21.3ms, step_avg:236.79ms, train loss:79.08,  lr:1.00
step:91/1530, train_time:21.5ms, step_avg:236.80ms, train loss:79.20,  lr:1.00
step:92/1530, train_time:21.8ms, step_avg:236.79ms, train loss:79.35,  lr:1.00
step:93/1530, train_time:22.0ms, step_avg:236.79ms, train loss:78.91,  lr:1.00
step:94/1530, train_time:22.3ms, step_avg:236.79ms, train loss:78.11,  lr:1.00
step:95/1530, train_time:22.5ms, step_avg:236.79ms, train loss:77.92,  lr:1.00
step:96/1530, train_time:22.7ms, step_avg:236.78ms, train loss:78.77,  lr:1.00
step:97/1530, train_time:23.0ms, step_avg:236.78ms, train loss:78.90,  lr:1.00
step:98/1530, train_time:23.2ms, step_avg:236.78ms, train loss:78.44,  lr:1.00
step:99/1530, train_time:23.4ms, step_avg:236.77ms, train loss:76.84,  lr:1.00
step:100/1530, train_time:23.7ms, step_avg:236.76ms, train loss:76.89,  lr:1.00
step:100/1530 val_loss:5.0982 train_time:23696ms step_avg:236.96ms
step:101/1530, train_time:23.9ms, step_avg:236.79ms, train loss:78.10,  lr:1.00
step:102/1530, train_time:24.1ms, step_avg:236.76ms, train loss:78.13,  lr:1.00
step:103/1530, train_time:24.4ms, step_avg:236.76ms, train loss:76.95,  lr:1.00
step:104/1530, train_time:24.6ms, step_avg:236.76ms, train loss:78.05,  lr:1.00
step:105/1530, train_time:24.9ms, step_avg:236.77ms, train loss:76.92,  lr:1.00
step:106/1530, train_time:25.1ms, step_avg:236.75ms, train loss:76.30,  lr:1.00
step:107/1530, train_time:25.3ms, step_avg:236.75ms, train loss:76.97,  lr:1.00
step:108/1530, train_time:25.6ms, step_avg:236.75ms, train loss:76.48,  lr:1.00
step:109/1530, train_time:25.8ms, step_avg:236.77ms, train loss:76.93,  lr:1.00
step:110/1530, train_time:26.0ms, step_avg:236.77ms, train loss:76.82,  lr:1.00
step:111/1530, train_time:26.3ms, step_avg:236.77ms, train loss:75.40,  lr:1.00
step:112/1530, train_time:26.5ms, step_avg:236.75ms, train loss:76.83,  lr:1.00
