====================================================================================================
Running Python 3.10.12 (main, Jan 26 2026, 14:55:28) [GCC 11.4.0]
Running PyTorch 2.10.0+cu128 compiled for CUDA 12.8
Running Triton version 3.6.0
Sat Feb 21 12:17:33 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.126.09             Driver Version: 580.126.09     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA H100 80GB HBM3          On  |   00000000:04:00.0 Off |                  Off |
| N/A   45C    P0            124W /  700W |    1185MiB /  81559MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|    0   N/A  N/A            7470      C   /usr/bin/python3                       1176MiB |
+-----------------------------------------------------------------------------------------+

====================================================================================================
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 448, 449, 450, 451, 848, 849, 850, 851, 1188, 1189, 1190, 1191] for warmup
Resetting Model
step:55/1390, train_time:13.2 secs, step_avg:239.81ms, train loss:86.37,  lr:1.00
step:56/1390, train_time:13.4 secs, step_avg:239.73ms, train loss:86.78,  lr:1.00
step:57/1390, train_time:13.7 secs, step_avg:239.71ms, train loss:87.03,  lr:1.00
step:58/1390, train_time:13.9 secs, step_avg:239.65ms, train loss:84.99,  lr:1.00
step:59/1390, train_time:14.1 secs, step_avg:239.66ms, train loss:86.17,  lr:1.00
step:60/1390, train_time:14.4 secs, step_avg:239.61ms, train loss:85.43,  lr:1.00
step:61/1390, train_time:14.6 secs, step_avg:239.59ms, train loss:84.99,  lr:1.00
step:62/1390, train_time:14.9 secs, step_avg:239.58ms, train loss:84.93,  lr:1.00
step:63/1390, train_time:15.1 secs, step_avg:239.55ms, train loss:85.11,  lr:1.00
step:64/1390, train_time:15.3 secs, step_avg:239.50ms, train loss:84.98,  lr:1.00
step:65/1390, train_time:15.6 secs, step_avg:239.47ms, train loss:84.74,  lr:1.00
step:66/1390, train_time:15.8 secs, step_avg:239.42ms, train loss:84.46,  lr:1.00
step:67/1390, train_time:16.0 secs, step_avg:239.42ms, train loss:84.43,  lr:1.00
step:68/1390, train_time:16.3 secs, step_avg:239.38ms, train loss:84.16,  lr:1.00
step:69/1390, train_time:16.5 secs, step_avg:239.35ms, train loss:83.33,  lr:1.00
step:70/1390, train_time:16.8 secs, step_avg:239.31ms, train loss:83.30,  lr:1.00
step:71/1390, train_time:17.0 secs, step_avg:239.31ms, train loss:83.41,  lr:1.00
step:72/1390, train_time:17.2 secs, step_avg:239.27ms, train loss:83.27,  lr:1.00
step:73/1390, train_time:17.5 secs, step_avg:239.25ms, train loss:82.48,  lr:1.00
step:74/1390, train_time:17.7 secs, step_avg:239.23ms, train loss:82.78,  lr:1.00
step:75/1390, train_time:17.9 secs, step_avg:239.21ms, train loss:82.99,  lr:1.00
step:76/1390, train_time:18.2 secs, step_avg:239.20ms, train loss:82.23,  lr:1.00
step:77/1390, train_time:18.4 secs, step_avg:239.16ms, train loss:82.65,  lr:1.00
step:78/1390, train_time:18.7 secs, step_avg:239.14ms, train loss:81.87,  lr:1.00
step:79/1390, train_time:18.9 secs, step_avg:239.13ms, train loss:82.37,  lr:1.00
step:80/1390, train_time:19.1 secs, step_avg:239.11ms, train loss:82.22,  lr:1.00
step:81/1390, train_time:19.4 secs, step_avg:239.10ms, train loss:81.95,  lr:1.00
step:82/1390, train_time:19.6 secs, step_avg:239.06ms, train loss:82.32,  lr:1.00
step:83/1390, train_time:19.8 secs, step_avg:239.04ms, train loss:80.79,  lr:1.00
step:84/1390, train_time:20.1 secs, step_avg:239.02ms, train loss:80.53,  lr:1.00
step:85/1390, train_time:20.3 secs, step_avg:239.01ms, train loss:81.70,  lr:1.00
step:86/1390, train_time:20.6 secs, step_avg:238.98ms, train loss:80.88,  lr:1.00
