====================================================================================================
Running Python 3.10.12 (main, Jan 26 2026, 14:55:28) [GCC 11.4.0]
Running PyTorch 2.10.0+cu128 compiled for CUDA 12.8
Running Triton version 3.6.0
Fri Feb 20 21:15:24 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.126.09             Driver Version: 580.126.09     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA H100 80GB HBM3          On  |   00000000:04:00.0 Off |                  Off |
| N/A   38C    P0            118W /  700W |    1185MiB /  81559MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|    0   N/A  N/A            9907      C   /usr/bin/python3                       1176MiB |
+-----------------------------------------------------------------------------------------+

====================================================================================================
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 495, 496, 497, 498, 991, 992, 993, 994, 1488, 1489, 1490, 1491] for warmup
Resetting Model
step:55/1530, train_time:13061ms, step_avg:237.47ms, train loss:177793.6895,  lr:1.0
step:56/1530, train_time:13295ms, step_avg:237.42ms, train loss:178145.6699,  lr:1.0
step:57/1530, train_time:13534ms, step_avg:237.44ms, train loss:178118.8203,  lr:1.0
step:58/1530, train_time:13774ms, step_avg:237.48ms, train loss:174372.9785,  lr:1.0
step:59/1530, train_time:14012ms, step_avg:237.49ms, train loss:177025.1270,  lr:1.0
step:60/1530, train_time:14247ms, step_avg:237.45ms, train loss:175242.0000,  lr:1.0
step:61/1530, train_time:14486ms, step_avg:237.48ms, train loss:174160.2500,  lr:1.0
step:62/1530, train_time:14722ms, step_avg:237.45ms, train loss:174262.3711,  lr:1.0
step:63/1530, train_time:14959ms, step_avg:237.45ms, train loss:174426.9434,  lr:1.0
step:64/1530, train_time:15195ms, step_avg:237.42ms, train loss:174420.3047,  lr:1.0
step:65/1530, train_time:15433ms, step_avg:237.43ms, train loss:173971.0508,  lr:1.0
step:66/1530, train_time:15671ms, step_avg:237.43ms, train loss:173236.0684,  lr:1.0
step:67/1530, train_time:15909ms, step_avg:237.44ms, train loss:173159.1816,  lr:1.0
step:68/1530, train_time:16145ms, step_avg:237.42ms, train loss:172652.6465,  lr:1.0
step:69/1530, train_time:16381ms, step_avg:237.41ms, train loss:171071.4590,  lr:1.0
step:70/1530, train_time:16616ms, step_avg:237.38ms, train loss:171147.2598,  lr:1.0
step:71/1530, train_time:16853ms, step_avg:237.36ms, train loss:171254.9258,  lr:1.0
step:72/1530, train_time:17089ms, step_avg:237.35ms, train loss:171004.3203,  lr:1.0
step:73/1530, train_time:17326ms, step_avg:237.34ms, train loss:169450.4316,  lr:1.0
step:74/1530, train_time:17562ms, step_avg:237.32ms, train loss:169784.7832,  lr:1.0
step:75/1530, train_time:17799ms, step_avg:237.32ms, train loss:170185.5898,  lr:1.0
step:76/1530, train_time:18034ms, step_avg:237.29ms, train loss:168988.8125,  lr:1.0
step:77/1530, train_time:18273ms, step_avg:237.31ms, train loss:170497.8125,  lr:1.0
step:78/1530, train_time:18511ms, step_avg:237.31ms, train loss:168211.0254,  lr:1.0
step:79/1530, train_time:18749ms, step_avg:237.33ms, train loss:168638.9766,  lr:1.0
step:80/1530, train_time:18984ms, step_avg:237.30ms, train loss:168628.4531,  lr:1.0
step:81/1530, train_time:19222ms, step_avg:237.31ms, train loss:167716.2188,  lr:1.0
step:82/1530, train_time:19457ms, step_avg:237.29ms, train loss:168793.6797,  lr:1.0
step:83/1530, train_time:19696ms, step_avg:237.31ms, train loss:165666.9531,  lr:1.0
step:84/1530, train_time:19932ms, step_avg:237.29ms, train loss:165152.3301,  lr:1.0
step:85/1530, train_time:20169ms, step_avg:237.28ms, train loss:167639.5996,  lr:1.0
step:86/1530, train_time:20404ms, step_avg:237.26ms, train loss:165821.8789,  lr:1.0
step:87/1530, train_time:20642ms, step_avg:237.26ms, train loss:166545.2520,  lr:1.0
step:88/1530, train_time:20879ms, step_avg:237.26ms, train loss:164906.4531,  lr:1.0
step:89/1530, train_time:21115ms, step_avg:237.25ms, train loss:165434.8105,  lr:1.0
